#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 100  45
# Band-Index    1
   0.00000    -13.012217    -13.012217
   0.01727    -13.013155    -13.013484
   0.03454    -13.016815    -13.017984
   0.05181    -13.024992    -13.026874
   0.06908    -13.038151    -13.040283
   0.08635    -13.055490    -13.057616
   0.10362    -13.076228    -13.078247
   0.12089    -13.099775    -13.101647
   0.13816    -13.125656    -13.127365
   0.15543    -13.153457    -13.155000
   0.17270    -13.182817    -13.184193
   0.18997    -13.213418    -13.214633
   0.20725    -13.244987    -13.246049
   0.22452    -13.277282    -13.278200
   0.24179    -13.310090    -13.310874
   0.25906    -13.343222    -13.343883
   0.27633    -13.376513    -13.377060
   0.29360    -13.409813    -13.410259
   0.31087    -13.442994    -13.443349
   0.32814    -13.475943    -13.476216
   0.34541    -13.508544    -13.508746
   0.36268    -13.540701    -13.540840
   0.37995    -13.572324    -13.572410
   0.39722    -13.603336    -13.603375
   0.41449    -13.633661    -13.633662
   0.43176    -13.663231    -13.663201
   0.44903    -13.691985    -13.691930
   0.46630    -13.719865    -13.719790
   0.48357    -13.746818    -13.746729
   0.50084    -13.772806    -13.772708
   0.51811    -13.797777    -13.797673
   0.53538    -13.821690    -13.821583
   0.55265    -13.844504    -13.844397
   0.56992    -13.866184    -13.866081
   0.58720    -13.886699    -13.886600
   0.60447    -13.906019    -13.905927
   0.62174    -13.924116    -13.924031
   0.63901    -13.940965    -13.940888
   0.65628    -13.956544    -13.956477
   0.67355    -13.970837    -13.970779
   0.69082    -13.983830    -13.983781
   0.70809    -13.995498    -13.995459
   0.72536    -14.005827    -14.005796
   0.74263    -14.014802    -14.014779
   0.75990    -14.022414    -14.022397
   0.77717    -14.028653    -14.028642
   0.79444    -14.033510    -14.033504
   0.81171    -14.036982    -14.036980
   0.82898    -14.039065    -14.039064
   0.84625    -14.039754    -14.039754
   0.84625    -14.039754    -14.039754
   0.86352    -14.039064    -14.039065
   0.88079    -14.036980    -14.036982
   0.89806    -14.033504    -14.033510
   0.91533    -14.028642    -14.028653
   0.93260    -14.022397    -14.022414
   0.94987    -14.014779    -14.014802
   0.96714    -14.005796    -14.005827
   0.98442    -13.995459    -13.995498
   1.00169    -13.983781    -13.983830
   1.01896    -13.970779    -13.970837
   1.03623    -13.956477    -13.956544
   1.05350    -13.940888    -13.940965
   1.07077    -13.924031    -13.924116
   1.08804    -13.905927    -13.906019
   1.10531    -13.886600    -13.886699
   1.12258    -13.866081    -13.866184
   1.13985    -13.844397    -13.844504
   1.15712    -13.821583    -13.821690
   1.17439    -13.797673    -13.797777
   1.19166    -13.772708    -13.772806
   1.20893    -13.746729    -13.746818
   1.22620    -13.719790    -13.719865
   1.24347    -13.691930    -13.691985
   1.26074    -13.663201    -13.663231
   1.27801    -13.633662    -13.633661
   1.29528    -13.603375    -13.603336
   1.31255    -13.572410    -13.572324
   1.32982    -13.540840    -13.540701
   1.34709    -13.508746    -13.508544
   1.36436    -13.476216    -13.475943
   1.38164    -13.443349    -13.442994
   1.39891    -13.410259    -13.409813
   1.41618    -13.377060    -13.376513
   1.43345    -13.343883    -13.343222
   1.45072    -13.310874    -13.310090
   1.46799    -13.278200    -13.277282
   1.48526    -13.246049    -13.244987
   1.50253    -13.214633    -13.213418
   1.51980    -13.184193    -13.182817
   1.53707    -13.155000    -13.153457
   1.55434    -13.127365    -13.125656
   1.57161    -13.101647    -13.099775
   1.58888    -13.078247    -13.076228
